PassengerId,Survived_pred,Survived_prob
892,0,0.1068
893,0,0.3892
894,0,0.1498
895,0,0.1322
896,1,0.5176
897,0,0.1507
898,1,0.6425
899,0,0.1639
900,1,0.6452
901,0,0.1191
902,0,0.1147
903,0,0.2085
904,1,0.9561
905,0,0.1567
906,1,0.9755
907,1,0.9243
908,0,0.1182
909,0,0.1306
910,0,0.4662
911,0,0.4899
912,0,0.3042
913,0,0.3678
914,1,0.9246
915,0,0.2982
916,1,0.9336
917,0,0.1168
918,1,0.9595
919,0,0.1311
920,0,0.3277
921,0,0.1179
922,0,0.1413
923,0,0.1731
924,1,0.5966
925,0,0.4074
926,0,0.3744
927,0,0.1324
928,0,0.4838
929,0,0.4442
930,0,0.1261
931,0,0.3314
932,0,0.1158
933,0,0.3063
934,0,0.1022
935,1,0.9312
936,1,0.9755
937,0,0.1397
938,0,0.2994
939,0,0.1171
940,1,0.9635
941,1,0.6493
942,0,0.3303
943,0,0.1371
944,1,0.9037
945,1,0.8731
946,0,0.1387
947,0,0.096
948,0,0.1051
949,0,0.1201
950,0,0.1304
951,1,0.9766
952,0,0.1248
953,0,0.1288
954,0,0.1293
955,1,0.658
956,0,0.4228
957,1,0.9082
958,1,0.5524
959,0,0.262
960,0,0.2914
961,1,0.927
962,1,0.6248
963,0,0.1228
964,1,0.5515
965,0,0.2897
966,1,0.9783
967,0,0.3448
968,0,0.1205
969,1,0.9087
970,0,0.1267
971,1,0.6248
972,1,0.6419
973,0,0.323
974,0,0.2156
975,0,0.1147
976,0,0.1193
977,0,0.1297
978,1,0.6066
979,0,0.4742
980,1,0.6342
981,1,0.7825
982,1,0.5124
983,0,0.1227
984,1,0.9369
985,0,0.1205
986,0,0.2378
987,0,0.1349
988,1,0.9697
989,0,0.1408
990,1,0.538
991,0,0.1105
992,1,0.9762
993,0,0.1444
994,0,0.1171
995,0,0.1277
996,0,0.4246
997,0,0.1376
998,0,0.1246
999,0,0.1171
1000,0,0.1236
1001,0,0.1291
1002,0,0.1307
1003,1,0.5963
1004,1,0.9223
1005,1,0.6402
1006,1,0.9286
1007,0,0.1483
1008,0,0.1109
1009,1,0.7361
1010,0,0.348
1011,1,0.942
1012,1,0.9004
1013,0,0.1268
1014,1,0.9771
1015,0,0.1109
1016,0,0.1171
1017,1,0.6182
1018,0,0.1369
1019,0,0.4979
1020,0,0.1224
1021,0,0.1251
1022,0,0.1309
1023,0,0.2758
1024,0,0.4142
1025,0,0.1205
1026,0,0.1013
1027,0,0.1222
1028,0,0.1389
1029,0,0.1272
1030,0,0.4634
1031,0,0.1725
1032,0,0.1167
1033,1,0.9254
1034,0,0.3299
1035,0,0.1394
1036,0,0.3024
1037,0,0.1072
1038,0,0.273
1039,0,0.1255
1040,0,0.3063
1041,0,0.1417
1042,1,0.9635
1043,0,0.1147
1044,0,0.1106
1045,1,0.6173
1046,0,0.106
1047,0,0.1202
1048,1,0.9641
1049,1,0.5729
1050,0,0.3024
1051,1,0.6076
1052,1,0.6707
1053,1,0.5188
1054,1,0.8989
1055,0,0.1124
1056,0,0.1224
1057,1,0.5654
1058,0,0.2715
1059,0,0.15
1060,1,0.9088
1061,0,0.4714
1062,0,0.1111
1063,0,0.1464
1064,0,0.1395
1065,0,0.115
1066,0,0.1563
1067,1,0.9282
1068,1,0.9273
1069,0,0.3398
1070,1,0.9415
1071,1,0.9672
1072,0,0.1267
1073,0,0.3597
1074,1,0.9455
1075,0,0.1171
1076,1,0.8957
1077,0,0.1348
1078,1,0.8845
1079,0,0.1431
1080,0,0.133
1081,0,0.1219
1082,0,0.1393
1083,0,0.2223
1084,0,0.3059
1085,0,0.1338
1086,1,0.5668
1087,0,0.108
1088,1,0.7162
1089,1,0.5485
1090,0,0.117
1091,0,0.4813
1092,1,0.6359
1093,1,0.7934
1094,0,0.3303
1095,1,0.927
1096,0,0.1195
1097,0,0.2104
1098,1,0.5951
1099,0,0.117
1100,1,0.9225
1101,0,0.1206
1102,0,0.1496
1103,0,0.1107
1104,0,0.3057
1105,1,0.9334
1106,0,0.4727
1107,0,0.2699
1108,1,0.5963
1109,0,0.3409
1110,1,0.9298
1111,0,0.1205
1112,1,0.9091
1113,0,0.1278
1114,1,0.8721
1115,0,0.1363
1116,1,0.9032
1117,1,0.607
1118,0,0.1364
1119,1,0.6342
1120,0,0.1118
1121,0,0.1219
1122,0,0.3186
1123,1,0.9114
1124,0,0.1361
1125,0,0.1152
1126,0,0.3296
1127,0,0.1299
1128,0,0.3206
1129,0,0.1354
1130,1,0.8536
1131,1,0.9801
1132,1,0.8977
1133,1,0.9293
1134,0,0.3684
1135,0,0.1147
1136,0,0.1272
1137,0,0.29
1138,1,0.8846
1139,0,0.1762
1140,1,0.942
1141,1,0.5193
1142,1,0.8457
1143,0,0.1508
1144,0,0.3862
1145,0,0.1229
1146,0,0.1294
1147,0,0.1111
1148,0,0.1171
1149,0,0.1205
1150,1,0.8748
1151,0,0.1307
1152,0,0.1225
1153,0,0.1246
1154,1,0.9398
1155,1,0.6913
1156,0,0.1237
1157,0,0.1147
1158,0,0.1516
1159,0,0.1111
1160,0,0.4838
1161,0,0.1282
1162,0,0.3129
1163,0,0.1171
1164,1,0.9237
1165,1,0.5924
1166,0,0.1168
1167,1,0.9192
1168,0,0.1193
1169,0,0.1388
1170,0,0.1351
1171,0,0.1175
1172,0,0.4628
1173,1,0.7772
1174,1,0.6342
1175,1,0.5126
1176,1,0.6431
1177,0,0.0977
1178,0,0.1109
1179,0,0.3386
1180,0,0.115
1181,0,0.1205
1182,0,0.273
1183,1,0.5604
1184,0,0.115
1185,0,0.3296
1186,0,0.1125
1187,0,0.1197
1188,1,0.8238
1189,0,0.1179
1190,0,0.273
1191,0,0.1225
1192,0,0.1317
1193,0,0.1362
1194,0,0.1267
1195,0,0.1234
1196,1,0.6342
1197,1,0.9126
1198,0,0.3586
1199,1,0.7251
1200,0,0.3575
1201,0,0.3882
1202,0,0.1276
1203,0,0.1311
1204,0,0.1111
1205,0,0.4809
1206,1,0.9694
1207,1,0.6573
1208,0,0.3499
1209,0,0.1292
1210,0,0.131
1211,0,0.1738
1212,0,0.1277
1213,0,0.1263
1214,0,0.1272
1215,0,0.3083
1216,1,0.9781
1217,0,0.1226
1218,1,0.897
1219,0,0.3081
1220,0,0.1417
1221,0,0.1217
1222,1,0.9302
1223,0,0.3026
1224,0,0.1168
1225,1,0.568
1226,0,0.1285
1227,0,0.2223
1228,0,0.1309
1229,0,0.0984
1230,0,0.199
1231,0,0.115
1232,0,0.1265
1233,0,0.1213
1234,0,0.2622
1235,1,0.9672
1236,0,0.1309
1237,1,0.6656
1238,0,0.1272
1239,1,0.5058
1240,0,0.1229
1241,1,0.9203
1242,1,0.9756
1243,0,0.1195
1244,0,0.2338
1245,0,0.2219
1246,1,0.7236
1247,0,0.2134
1248,1,0.9536
1249,0,0.1152
1250,0,0.1171
1251,1,0.5805
1252,0,0.1119
1253,1,0.9243
1254,1,0.9203
1255,0,0.1322
1256,1,0.9318
1257,0,0.3675
1258,0,0.1297
1259,0,0.3945
1260,1,0.9756
1261,0,0.1309
1262,0,0.1345
1263,1,0.9786
1264,0,0.1419
1265,0,0.1208
1266,1,0.9719
1267,1,0.9747
1268,0,0.3823
1269,0,0.1157
1270,0,0.2506
1271,0,0.2085
1272,0,0.1171
1273,0,0.1202
1274,1,0.5865
1275,1,0.568
1276,0,0.1279
1277,1,0.9493
1278,0,0.1284
1279,0,0.1178
1280,0,0.1257
1281,0,0.2622
1282,0,0.3393
1283,1,0.9057
1284,0,0.2013
1285,0,0.1116
1286,0,0.0959
1287,1,0.9455
1288,0,0.12
1289,1,0.9794
1290,0,0.1313
1291,0,0.1174
1292,1,0.9714
1293,0,0.1317
1294,1,0.9595
1295,0,0.3707
1296,0,0.2901
1297,0,0.1401
1298,0,0.1403
1299,0,0.3348
1300,1,0.6707
1301,1,0.6119
1302,1,0.6342
1303,1,0.9794
1304,1,0.5963
1305,0,0.1205
1306,1,0.9829
1307,0,0.0955
1308,0,0.1205
1309,0,0.1309
