sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9254015149578563
6.9,3.1,5.1,2.3,virginica,0.9766489788371869
5.1,2.5,3.0,1.1,versicolor,0.9450480856677501
4.4,2.9,,0.2,setosa,0.6176338887665417
5.9,3.0,5.1,1.8,virginica,0.7483679351773437
5.5,3.5,1.3,0.2,setosa,0.944399146313479
5.6,,3.6,1.3,versicolor,0.9459193879622168
6.5,3.0,5.2,2.0,virginica,0.961383790399682
5.3,3.7,1.5,0.2,setosa,0.9494743234444247
5.1,3.4,1.5,,setosa,0.7594202186449914
6.1,2.8,4.0,1.3,versicolor,0.9712787328861797
5.5,2.4,3.7,1.0,versicolor,0.9524801519561649
7.7,3.0,6.1,2.3,virginica,0.9726219618198992
6.9,3.1,4.9,1.5,versicolor,0.6792052506784043
6.0,2.2,5.0,1.5,virginica,0.8214398092484128
